RHC;;;
Fecha;Componente;Valor;UOM
02/06/2014 16:58:17;P.INICIAL;284;§C
02/06/2014 16:58:17;AZUFRE;4.2;mg/Kg
02/06/2014 16:58:17;COLOR ASTM;<3.5;-
02/06/2014 16:58:17;DENSIDAD 15§C;0.8431;Kg/L
02/06/2014 16:58:17;DESTILACION:;;.
02/06/2014 16:58:17;I. VISCOSIDAD NOR 4.3 CST A 100§C;130;-
02/06/2014 16:58:17;INDICE VISCOSIDAD;133;-
02/06/2014 16:58:17;NITROGENO;2.7;mg/Kg
02/06/2014 16:58:17;VISCOSIDAD A 100§C;4.638;mm2/S
02/06/2014 16:58:17;VISCOSIDAD A 65§C;10.02;mm2/S
04/06/2014 5:21:26;1% RECOGIDO;302;§C
04/06/2014 5:21:26;5% RECOGIDO;372;§C
04/06/2014 5:21:26;10% RECOGIDO;387;§C
04/06/2014 5:21:26;20% RECOGIDO;408;§C
04/06/2014 5:21:26;30% RECOGIDO;416;§C
04/06/2014 5:21:26;50% RECOGIDO;435;§C
04/06/2014 5:21:26;70% RECOGIDO;460;§C
04/06/2014 5:21:26;80% RECOGIDO;477;§C
04/06/2014 5:21:26;90% RECOGIDO;509;§C
04/06/2014 5:21:26;95% RECOGIDO;543;§C
04/06/2014 5:21:26;P.FINAL;578;§C
04/06/2014 5:21:26;P.INICIAL;291;§C
04/06/2014 5:21:26;AZUFRE;2.8;mg/Kg
04/06/2014 5:21:26;COLOR ASTM;3.0;-
04/06/2014 5:21:26;DENSIDAD 15§C;0.8409;Kg/L
04/06/2014 5:21:26;DESTILACION:;;.
04/06/2014 5:21:26;I. VISCOSIDAD NOR 4.3 CST A 100§C;127;-
04/06/2014 5:21:26;INDICE VISCOSIDAD;131;-
04/06/2014 5:21:26;NITROGENO;1.2;mg/Kg
04/06/2014 5:21:26;VISCOSIDAD A 100§C;4.736;mm2/S
04/06/2014 5:21:26;VISCOSIDAD A 65§C;10.33;mm2/S
06/06/2014 10:31:10;1% RECOGIDO;301;§C
06/06/2014 10:31:10;5% RECOGIDO;371;§C
06/06/2014 10:31:10;10% RECOGIDO;387;§C
06/06/2014 10:31:10;20% RECOGIDO;408;§C
06/06/2014 10:31:10;30% RECOGIDO;417;§C
06/06/2014 10:31:10;50% RECOGIDO;437;§C
06/06/2014 10:31:10;70% RECOGIDO;462;§C
06/06/2014 10:31:10;80% RECOGIDO;479;§C
06/06/2014 10:31:10;90% RECOGIDO;511;§C
06/06/2014 10:31:10;95% RECOGIDO;545;§C
06/06/2014 10:31:10;P.FINAL;579;§C
06/06/2014 10:31:10;P.INICIAL;290;§C
06/06/2014 10:31:10;AZUFRE;4.7;mg/Kg
06/06/2014 10:31:10;COLOR ASTM;<3.5;-
06/06/2014 10:31:10;DENSIDAD 15§C;0.8416;Kg/L
06/06/2014 10:31:10;DESTILACION:;;.
06/06/2014 10:31:10;I. VISCOSIDAD NOR 4.3 CST A 100§C;130;-
06/06/2014 10:31:10;INDICE VISCOSIDAD;135;-
06/06/2014 10:31:10;NITROGENO;1.3;mg/Kg
06/06/2014 10:31:10;VISCOSIDAD A 100§C;4.824;mm2/S
06/06/2014 10:31:10;VISCOSIDAD A 65§C;10.51;mm2/S
09/06/2014 11:06:30;1% RECOGIDO;296;§C
09/06/2014 11:06:30;5% RECOGIDO;367;§C
09/06/2014 11:06:30;10% RECOGIDO;383;§C
09/06/2014 11:06:30;20% RECOGIDO;406;§C
09/06/2014 11:06:30;30% RECOGIDO;415;§C
09/06/2014 11:06:30;50% RECOGIDO;435;§C
09/06/2014 11:06:30;70% RECOGIDO;460;§C
09/06/2014 11:06:30;80% RECOGIDO;478;§C
09/06/2014 11:06:30;90% RECOGIDO;509;§C
09/06/2014 11:06:30;95% RECOGIDO;544;§C
09/06/2014 11:06:30;P.FINAL;578;§C
09/06/2014 11:06:30;P.INICIAL;286;§C
09/06/2014 11:06:30;AZUFRE;4.5;mg/Kg
09/06/2014 11:06:30;COLOR ASTM;3.0;-
09/06/2014 11:06:30;DENSIDAD 15§C;0.8433;Kg/L
09/06/2014 11:06:30;DESTILACION:;;.
09/06/2014 11:06:30;I. VISCOSIDAD NOR 4.3 CST A 100§C;126;-
09/06/2014 11:06:30;INDICE VISCOSIDAD;130;-
09/06/2014 11:06:30;NITROGENO;1.6;mg/Kg
09/06/2014 11:06:30;VISCOSIDAD A 100§C;4.747;mm2/S
09/06/2014 11:06:30;VISCOSIDAD A 65§C;10.38;mm2/S
10/06/2014 7:32:10;1% RECOGIDO;299;§C
10/06/2014 7:32:10;5% RECOGIDO;362;§C
10/06/2014 7:32:10;10% RECOGIDO;378;§C
10/06/2014 7:32:10;20% RECOGIDO;400;§C
10/06/2014 7:32:10;30% RECOGIDO;410;§C
10/06/2014 7:32:10;50% RECOGIDO;429;§C
10/06/2014 7:32:10;70% RECOGIDO;451;§C
10/06/2014 7:32:10;80% RECOGIDO;467;§C
10/06/2014 7:32:10;90% RECOGIDO;498;§C
10/06/2014 7:32:10;95% RECOGIDO;533;§C
10/06/2014 7:32:10;P.FINAL;567;§C
10/06/2014 7:32:10;P.INICIAL;289;§C
10/06/2014 7:32:10;AZUFRE;3.8;mg/Kg
10/06/2014 7:32:10;COLOR ASTM;2.5;-
10/06/2014 7:32:10;DENSIDAD 15§C;0.8402;Kg/L
10/06/2014 7:32:10;DESTILACION:;;.
